CVE_LOC,CVE_MUN,CVE_ENT,NOM_LOC,NOM_MUN,NOM_ENT,rnpa,tot_subsidies,POBTOT,POBFEM,POBMAS,deci_lon,deci_lat
020010247,02001,02,EL SAUZAL DE RODRIGUEZ,ENSENADA,BAJA CALIFORNIA,203010087,1300000,11371,5666,5705,-116.69870305555555,31.896220555555555
020010247,02001,02,EL SAUZAL DE RODRIGUEZ,ENSENADA,BAJA CALIFORNIA,203010533,13079370,11371,5666,5705,-116.69870305555555,31.896220555555555
020010247,02001,02,EL SAUZAL DE RODRIGUEZ,ENSENADA,BAJA CALIFORNIA,203011630,968446,11371,5666,5705,-116.69870305555555,31.896220555555555
020010247,02001,02,EL SAUZAL DE RODRIGUEZ,ENSENADA,BAJA CALIFORNIA,203011804,602140,11371,5666,5705,-116.69870305555555,31.896220555555555
020010247,02001,02,EL SAUZAL DE RODRIGUEZ,ENSENADA,BAJA CALIFORNIA,203012521,7224282.76,11371,5666,5705,-116.69870305555555,31.896220555555555
020010247,02001,02,EL SAUZAL DE RODRIGUEZ,ENSENADA,BAJA CALIFORNIA,203012554,5273.52,11371,5666,5705,-116.69870305555555,31.896220555555555
020010247,02001,02,EL SAUZAL DE RODRIGUEZ,ENSENADA,BAJA CALIFORNIA,203013842,1818468.13,11371,5666,5705,-116.69870305555555,31.896220555555555
020010247,02001,02,EL SAUZAL DE RODRIGUEZ,ENSENADA,BAJA CALIFORNIA,203014204,380320,11371,5666,5705,-116.69870305555555,31.896220555555555
020010247,02001,02,EL SAUZAL DE RODRIGUEZ,ENSENADA,BAJA CALIFORNIA,203014758,503828.6,11371,5666,5705,-116.69870305555555,31.896220555555555
020010247,02001,02,EL SAUZAL DE RODRIGUEZ,ENSENADA,BAJA CALIFORNIA,203015284,430180,11371,5666,5705,-116.69870305555555,31.896220555555555
020010247,02001,02,EL SAUZAL DE RODRIGUEZ,ENSENADA,BAJA CALIFORNIA,203016092,6826423.08,11371,5666,5705,-116.69870305555555,31.896220555555555
020010247,02001,02,EL SAUZAL DE RODRIGUEZ,ENSENADA,BAJA CALIFORNIA,203016563,1300000,11371,5666,5705,-116.69870305555555,31.896220555555555
020010247,02001,02,EL SAUZAL DE RODRIGUEZ,ENSENADA,BAJA CALIFORNIA,203126586,988478,11371,5666,5705,-116.69870305555555,31.896220555555555
020010247,02001,02,EL SAUZAL DE RODRIGUEZ,ENSENADA,BAJA CALIFORNIA,203127170,307953.2,11371,5666,5705,-116.69870305555555,31.896220555555555
020010247,02001,02,EL SAUZAL DE RODRIGUEZ,ENSENADA,BAJA CALIFORNIA,203127287,698480,11371,5666,5705,-116.69870305555555,31.896220555555555
020010247,02001,02,EL SAUZAL DE RODRIGUEZ,ENSENADA,BAJA CALIFORNIA,208001321,24247891.29,11371,5666,5705,-116.69870305555555,31.896220555555555
020010247,02001,02,EL SAUZAL DE RODRIGUEZ,ENSENADA,BAJA CALIFORNIA,2508011026,663847,11371,5666,5705,-116.69870305555555,31.896220555555555
020010247,02001,02,EL SAUZAL DE RODRIGUEZ,ENSENADA,BAJA CALIFORNIA,2604008868,218868,11371,5666,5705,-116.69870305555555,31.896220555555555
020010247,02001,02,EL SAUZAL DE RODRIGUEZ,ENSENADA,BAJA CALIFORNIA,260400923,72960,11371,5666,5705,-116.69870305555555,31.896220555555555
020010942,02001,02,URUAPAN,ENSENADA,BAJA CALIFORNIA,203009279,458828,694,350,344,-116.43984416666667,31.623483333333333
020011309,02001,02,CUATRO MILPAS,ENSENADA,BAJA CALIFORNIA,203005673,522859,337,175,162,-116.67264583333333,31.89570361111111
020012224,02001,02,RINCON PUNTA BANDA [RINCON DE BALLENAS],ENSENADA,BAJA CALIFORNIA,203005301,105341,4,0,4,-116.67150944444445,31.7183225
