NOM_LOC,NOM_ENT,rnp_code,NOM_MUN,CVE_ENT,CVE_MUN,CVE_LOC,POBTOT,POBFEM,POBMAS,deci_lon,deci_lat
PUERTO PENASCO,SONORA,2601000413,PUERTO PENASCO,26,26048,260480001,62301,30877,31424,-113.54013083333334,31.306780833333335
PUERTO PENASCO,SONORA,2607004278,PUERTO PENASCO,26,26048,260480001,62301,30877,31424,-113.54013083333334,31.306780833333335
PUERTO PENASCO,SONORA,2604000321,PUERTO PENASCO,26,26048,260480001,62301,30877,31424,-113.54013083333334,31.306780833333335
PUERTO PENASCO,SONORA,2607100134,PUERTO PENASCO,26,26048,260480001,62301,30877,31424,-113.54013083333334,31.306780833333335
PUERTO PENASCO,SONORA,2607603681,PUERTO PENASCO,26,26048,260480001,62301,30877,31424,-113.54013083333334,31.306780833333335
PUERTO PENASCO,SONORA,2607602972,PUERTO PENASCO,26,26048,260480001,62301,30877,31424,-113.54013083333334,31.306780833333335
FRONTERA,TABASCO,2701004547,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701006039,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701004125,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701003358,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701002533,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701004117,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701004893,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701005916,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701005353,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701003135,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701004489,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701004935,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701004877,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701002590,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701002780,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701004869,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701004190,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2700000587,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2700000652,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701003291,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701001105,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701004000,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701003853,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701001287,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701004414,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701004372,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701004661,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701006203,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701005510,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701001311,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701003648,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701003846,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701004208,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701005981,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701004711,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701004521,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701002194,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701001832,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
FRONTERA,TABASCO,2701005940,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
JONUTA,TABASCO,2704002548,JONUTA,27,27011,270110001,7387,3854,3533,-92.13872916666668,18.09070611111111
JONUTA,TABASCO,2704002282,JONUTA,27,27011,270110001,7387,3854,3533,-92.13872916666668,18.09070611111111
JONUTA,TABASCO,2704002423,JONUTA,27,27011,270110001,7387,3854,3533,-92.13872916666668,18.09070611111111
JONUTA,TABASCO,2704002878,JONUTA,27,27011,270110001,7387,3854,3533,-92.13872916666668,18.09070611111111
JONUTA,TABASCO,2701005981,JONUTA,27,27011,270110001,7387,3854,3533,-92.13872916666668,18.09070611111111
JONUTA,TABASCO,2704000849,JONUTA,27,27011,270110001,7387,3854,3533,-92.13872916666668,18.09070611111111
JONUTA,TABASCO,2703003901,JONUTA,27,27011,270110001,7387,3854,3533,-92.13872916666668,18.09070611111111
MACUSPANA,TABASCO,2703002549,MACUSPANA,27,27012,270120001,31435,16316,15119,-92.59407055555555,17.75643138888889
